protocol,pattern,jobs,usable_jobs,total_runs,usable_runs,failed_runs,count_mismatches,expected_instances,observed_solutions,total_maude_real_sec,total_elapsed_sec,avg_maude_real_ms_per_instance
tls12,ALL,9,7,9,7,2,1,952,568.0,6736.982,6761.525300621986,7076.661764705882
tls13,ALL,27,16,27,16,11,1,2441,68.0,5124.424,5167.9128919020295,2099.3133961491194
tls12,P1,2,1,2,1,1,0,329,256.0,263.452,264.22274473309517,800.7659574468086
tls12,P2,1,1,1,1,0,1,2,1.0,0.421,1.126452162861824,210.5
tls12,P3,2,1,2,1,1,0,610,300.0,2064.508,2077.025192990899,3384.439344262295
tls12,P4,2,2,2,2,0,0,4,4.0,0.944,2.224951848387718,236.0
tls12,P5,2,2,2,2,0,0,7,7.0,4407.657,4416.925958886743,629665.2857142857
tls13,P1,5,1,5,1,4,0,598,34.0,1010.569,1030.6249768957496,1689.9147157190635
tls13,P2,5,3,5,3,2,0,30,14.0,3379.164,3394.1216533854604,112638.8
tls13,P3,5,0,5,0,5,0,1792,0,0.0,0,0.0
tls13,P4,6,6,6,6,0,1,13,12.0,710.819,715.2400471046567,54678.38461538462
tls13,P5,6,6,6,6,0,0,8,8.0,23.872,27.926214516162872,2984.0
