case_id,cve,library,protocol,aggregation_protocol,experiment,bucket_id,category,pattern,bucket_expected_instances,test_case_failures_static,candidate_count,candidate_maude_real_sec,candidate_elapsed_sec,candidate_runs,candidate_usable_runs,candidate_cap_reached,success_count,success_maude_real_sec,success_elapsed_sec,success_runs,success_usable_runs,success_cap_reached,failed_runs,count_mismatches,status
cve-2021-3449,CVE-2021-3449,OpenSSL,tls12,tls12,baseline,,,,,1,1,0.692,2.352420561015606,1,1,False,1,0.688,2.349129743874073,1,1,False,0,0,ok
cve-2021-3449,CVE-2021-3449,OpenSSL,tls12,tls12,bucket,tls12-5246-p2,5246,P2,2,1,1,0.551,2.677604526281357,1,1,False,0,1.908,3.6254362240433693,1,1,False,0,0,ok
cve-2021-3449,CVE-2021-3449,OpenSSL,tls12,tls12,bucket,tls12-5246-p3,5246,P3,610,1,,,,1,0,False,,,,1,0,False,2,0,failed
cve-2021-3449,CVE-2021-3449,OpenSSL,tls12,tls12,bucket,tls12-5246-p4,5246,P4,4,1,0,2.523,4.654887899756432,1,1,False,0,2.493,4.176079995930195,1,1,False,0,0,ok
cve-2021-3449,CVE-2021-3449,OpenSSL,tls12,tls12,bucket,tls12-5246-p5,5246,P5,7,1,1,1.928,3.620229586958885,1,1,False,0,24.103,25.784817419946194,1,1,False,0,0,ok
cve-2024-5814,CVE-2024-5814,wolfSSL,tls12,tls12,baseline,,,,,1,1,0.503,2.1737556979060173,1,1,False,1,0.5,2.1775676384568214,1,1,False,0,0,ok
cve-2024-5814,CVE-2024-5814,wolfSSL,tls12,tls12,bucket,tls12-5246-p2,5246,P2,2,1,0,4.216,6.307180240750313,1,1,False,0,4.147,5.829470746219158,1,1,False,0,0,ok
cve-2024-5814,CVE-2024-5814,wolfSSL,tls12,tls12,bucket,tls12-5246-p3,5246,P3,610,1,,,,1,0,False,,,,1,0,False,2,0,failed
cve-2024-5814,CVE-2024-5814,wolfSSL,tls12,tls12,bucket,tls12-5246-p4,5246,P4,4,1,1,0.547,2.4141805320978165,1,1,False,0,13.543,15.211794339120388,1,1,False,0,0,ok
cve-2024-5814,CVE-2024-5814,wolfSSL,tls12,tls12,bucket,tls12-5246-p5,5246,P5,7,1,1,1.144,2.82293114811182,1,1,False,0,337.912,339.6214036345482,1,1,False,0,0,ok
cve-2025-12889,CVE-2025-12889,wolfSSL,tls12,tls12,baseline,,,,,1,1,0.624,2.5011148154735565,1,1,False,1,0.631,2.489622861146927,1,1,False,0,0,ok
